pattern,lead,model,RMSE,MAE,F1,CSI,keep_frac,last_month_keep_frac,voxel_any_obs_frac
none,1,persist_unmasked,8.265,7.002,0.6,0.429,1.0,1.0,1.0
none,1,persist_locf,8.265,7.002,0.6,0.429,1.0,1.0,1.0
none,1,linear_time,8.265,7.002,0.6,0.429,1.0,1.0,1.0
none,1,spatial_linear,8.265,7.002,0.6,0.429,1.0,1.0,1.0
none,1,climatology,5.298,4.189,0.671,0.505,1.0,1.0,1.0
none,1,st_transformer,3.876,3.076,0.741,0.588,1.0,1.0,1.0
point,1,persist_unmasked,8.265,7.002,0.6,0.429,0.2487,0.2487,0.2487
point,1,persist_locf,6.176,4.881,0.657,0.489,0.2487,0.2487,0.2487
point,1,linear_time,6.176,4.881,0.657,0.489,0.2487,0.2487,0.2487
point,1,spatial_linear,12.697,9.342,0.384,0.238,0.2487,0.2487,0.2487
point,1,climatology,5.298,4.189,0.671,0.505,0.2487,0.2487,0.2487
point,1,st_transformer,5.016,3.935,0.692,0.529,0.2487,0.2487,0.2487
block,1,persist_unmasked,8.265,7.002,0.6,0.429,0.2667,0.2667,0.2667
block,1,persist_locf,6.105,4.863,0.668,0.501,0.2667,0.2667,0.2667
block,1,linear_time,6.105,4.863,0.668,0.501,0.2667,0.2667,0.2667
block,1,spatial_linear,13.728,10.016,0.344,0.208,0.2667,0.2667,0.2667
block,1,climatology,5.298,4.189,0.671,0.505,0.2667,0.2667,0.2667
block,1,st_transformer,4.994,3.916,0.683,0.518,0.2667,0.2667,0.2667
block_time,1,persist_unmasked,8.265,7.002,0.6,0.429,0.45,0.7667,1.0
block_time,1,persist_locf,10.049,8.033,0.566,0.395,0.45,0.7667,1.0
block_time,1,linear_time,10.049,8.033,0.566,0.395,0.45,0.7667,1.0
block_time,1,spatial_linear,10.049,8.033,0.566,0.395,0.45,0.7667,1.0
block_time,1,climatology,5.298,4.189,0.671,0.505,0.45,0.7667,1.0
block_time,1,st_transformer,4.273,3.35,0.72,0.563,0.45,0.7667,1.0
sensor,1,persist_unmasked,8.265,7.002,0.6,0.429,0.2,0.2,0.2
sensor,1,persist_locf,5.99,4.739,0.662,0.494,0.2,0.2,0.2
sensor,1,linear_time,5.99,4.739,0.662,0.494,0.2,0.2,0.2
sensor,1,spatial_linear,5.99,4.739,0.662,0.494,0.2,0.2,0.2
sensor,1,climatology,5.298,4.189,0.671,0.505,0.2,0.2,0.2
sensor,1,st_transformer,5.075,3.988,0.693,0.53,0.2,0.2,0.2
station,1,persist_unmasked,8.265,7.002,0.6,0.429,0.0889,0.0889,0.0889
station,1,persist_locf,5.599,4.425,0.672,0.506,0.0889,0.0889,0.0889
station,1,linear_time,5.599,4.425,0.672,0.506,0.0889,0.0889,0.0889
station,1,spatial_linear,14.168,10.251,0.313,0.186,0.0889,0.0889,0.0889
station,1,climatology,5.298,4.189,0.671,0.505,0.0889,0.0889,0.0889
station,1,st_transformer,5.232,4.127,0.674,0.508,0.0889,0.0889,0.0889
mixed,1,persist_unmasked,8.265,7.002,0.6,0.429,0.2047,0.2047,0.2047
mixed,1,persist_locf,6.006,4.76,0.654,0.486,0.2047,0.2047,0.2047
mixed,1,linear_time,6.006,4.76,0.654,0.486,0.2047,0.2047,0.2047
mixed,1,spatial_linear,12.773,9.479,0.381,0.235,0.2047,0.2047,0.2047
mixed,1,climatology,5.298,4.189,0.671,0.505,0.2047,0.2047,0.2047
mixed,1,st_transformer,5.071,4.002,0.68,0.515,0.2047,0.2047,0.2047
argo,1,persist_unmasked,8.265,7.002,0.6,0.429,0.0778,0.0778,0.0778
argo,1,persist_locf,5.538,4.384,0.671,0.505,0.0778,0.0778,0.0778
